FL;SEC;Set;MV1;MV2;MV3;MD1;MD2;MD3;HV1;HV2;HV3;HD1;HD2;HD3
Scalpel;A1;LENGTH;384,283;460,782;540,768;522,445;484,466;526,957;613,648;491,883;670,122;520,267;580,7;519,989
Pedicel;A2;LENGTH;109,821;107,411;98,92;139,818;88,828;114,878;125,838;353,469;127,266;125,105;215,2;113,468
Meriston;A3;LENGTH;331,987;315,778;319,886;342,853;254,814;344,765;371,632;328,728;357,053;342,883;347,1;331,101
F2;A4;LENGTH;220,53;189,839;196,848;221,662;181,67;222,191;214,921;198,967;225,681;232,1;204,1;212,564
F3;A5;LENGTH;270,085;225,118;238,621;244,115;224,215;257,825;253,635;238,727;267,563;268,444;233,9;239,414
F4;A6;LENGTH;291,129;298,763;288,417;278,887;276,883;285,149;322,563;295,075;324,787;293,795;297;283,865
F5;A7;LENGTH;335,034;308,159;281,371;300,211;341,477;329,681;351,019;478,13;358,733;333,042;307,1;294,095
F6;A8;LENGTH;340,626;359,411;321,836;345,566;323,065;340,642;354,747;349,275;394,573;352,859;357,8;325,264
F7;A9;LENGTH;370,104;367,755;332,264;347,767;297,724;339,176;390,499;359,276;408,154;385,896;364,4;331,511
F8;A10;LENGTH;343,315;387,029;302,307;374,47;314,646;345,778;399,095;369,206;423,96;389,273;378,5;329,578
F9;A11;LENGTH;346,211;363,627;355,097;352,245;318,64;338,464;424,738;540,46;431,299;389,792;371,3;322,947
F10;A12;LENGTH;345,296;364,658;332,129;372,864;346,223;332,777;415,966;555,007;436,98;398,1;375,2;351,058
F11;A13;LENGTH;371,3;354,571;300,527;361,995;345,555;340,376;403,557;377,347;427,872;405,3;353,2;328,414
F12;A14;LENGTH;364,049;365,106;302,142;371,35;357,35;349,399;391,885;378,108;411,183;432,8;366;329,235
F13;A15;LENGTH;361,72;387,047;351,984;392,893;385,745;328,349;404,408;420,309;399,149;412,9;409,1;399,126
F14;A16;LENGTH;392,884;374,369;372,5;379,891;378,629;331,529;430,084;408,308;426,506;414,8;399,3;405,171
F15;A17;LENGTH;362,29;360,946;385,9;369,549;375,13;353,249;412,171;406,688;447,585;380,8;383;368,307
Scalpel;A1;WIDTH;195,047;196,561;216,683;216,768;211,239;202,761;237,585;185,368;203,149;217,86;210,8;190,011
Pedicel;A2;WIDTH;134,791;127,348;127,487;142,236;139,438;125,329;146,929;404,842;137,598;139,918;230,6;130,988
Meriston;A3;WIDTH;133,499;148,231;139,888;148,62;153,304;132,509;142,514;147,115;142,998;139,562;137;144,89
F2;A4;WIDTH;147,939;167,473;137,508;156,774;164,627;138,54;149,055;150,397;156,411;158,725;145;149,188
F3;A5;WIDTH;145,429;178,118;156,688;163,243;169,96;132,208;150,317;154,511;168,533;152,774;152;153,118
F4;A6;WIDTH;150,428;170,028;139,417;138,451;166,873;133,362;139,186;140,628;152,613;154,862;143,8;137,926
F5;A7;WIDTH;148,852;177,782;147,115;151,389;198,366;138,588;136,837;204,458;155,199;158,861;150,4;127,49
F6;A8;WIDTH;151,066;182,298;137,964;154,413;181,319;136,055;142,501;136,94;144,16;153,962;162,1;128,481
F7;A9;WIDTH;144,27;183,082;150,948;160,132;189,279;138,485;146,259;127,946;146,856;156,542;158,7;131,456
F8;A10;WIDTH;134,958;178,986;166,221;163,698;185,313;133,071;143,078;127,847;142,751;156,972;149,7;124,911
F9;A11;WIDTH;133,08;177,304;141,411;156,179;180,509;134,164;135,215;193,824;145,014;154,621;160,8;122,868
F10;A12;WIDTH;130,643;171,465;132,594;166,727;180,375;127,215;140,164;200,372;148,856;140,6;157,4;132,967
F11;A13;WIDTH;131,708;164,897;129,728;155,746;175,971;127,975;127,295;127,142;143,347;141,5;150,9;128,068
F12;A14;WIDTH;130,581;163,868;125,642;153,609;170,385;129,058;123,168;133,232;141,518;129;152,8;133,516
F13;A15;WIDTH;130,568;149,217;112,906;141,142;147,969;118,527;114,817;131,064;121,832;119,3;142,4;114,982
F14;A16;WIDTH;114,571;141,661;116,589;133,607;140,928;115,421;107,472;108,213;123,564;114;130,9;117,476
F15;A17;WIDTH;104,521;126,454;106,596;121,271;119,886;102,089;104,807;107,013;109,503;104,5;122,8;114,161
Scalpel;A1;AREA;64886,757;82496,324;96437,268;100029,219;92305,825;95411,129;127311,729;86109,326;128890,381;99677,499;105504,9;90578,793
Pedicel;A2;AREA;15030,321;12626,793;12566,073;18167,393;11657,208;14115,381;19146,441;143220,04;17397,568;16542,036;50745,7;14232,231
Meriston;A3;AREA;43927,106;44046,839;42352,416;49104,476;36837,331;44592,659;52058,085;47389,459;49550,397;48201,906;46143,7;45190,805
F2;A4;AREA;28540,075;29430,245;26548,311;30587,358;26057,08;28154,947;29386,293;26811,488;31611,696;33306,104;26684,1;28530,287
F3;A5;AREA;33424,602;35208,363;31986,262;35160,352;33036,951;30255,608;34170,867;31421,767;37449,047;36981,702;30357,8;31351,448
F4;A6;AREA;37064,217;44633,643;27584,847;35114,853;40579,896;34150,598;41441,246;36894,255;42832,201;39494,485;37371,9;34483,539
F5;A7;AREA;41550,521;48365,629;37817,678;39970,831;58222,44;38987,848;44858,466;88234,698;48385,748;46313,744;40169,4;33804,278
F6;A8;AREA;42414,637;55744,793;41864,91;46842,617;50715,478;40029,605;45781,683;41922,803;51810,76;47704,628;48407,3;35192,205
F7;A9;AREA;43837,089;58752,377;44406,039;48645,52;49037,388;40971,387;50954,214;41325,99;52948,718;51366,811;49577;36316,666
F8;A10;AREA;40804,671;60107,358;43225,246;54656,628;52129,952;39785,015;49696,607;42002,444;54867,229;51628,755;49947,4;35668,922
F9;A11;AREA;39942,185;56673,537;44244,063;51258,821;50930,684;37853,091;51828,556;91996,85;53941,668;50708,43;50000,2;34138,873
F10;A12;AREA;39011,722;56123,93;38115,041;52961,369;53721,739;36347,108;50537,113;94920,866;54502,886;47226;48821,4;38277,479
F11;A13;AREA;40602,174;52121,533;34597,774;49781,599;50237,562;37052,979;46338,694;41958,978;52296,735;47530;44565,1;35422,638
F12;A14;AREA;38208,668;51994,513;34008,773;49045,4;50927,372;37056,079;42537,27;42100,91;48511,761;49301,1;45738,5;34998,268
F13;A15;AREA;36957,678;50468,101;36521,948;48021,941;49482,156;32825,036;42770,964;44451,43;42291,073;42263,9;48252,3;38309,047
F14;A16;AREA;36127,703;44261,534;35614,71;42228,049;45585,714;30706,026;41448,877;39611,107;43988,239;38491,2;43687,7;36825,35
F15;A17;AREA;29794,16;37597,694;32912,249;37649,64;36428,124;27953,686;34746,156;35682,374;39690,08;30328,3;36859,2;32529,703
